listing_id,title,current_price,purpose,neighbourhood,bedrooms,flag,corrected_price
9ced3ba0-45b5-4a2c-8f28-17534d1a39bf,"Affordable Furnished Apartments & Airbnb Stays Across Nairobi",4000,rent,Kilimani,2,LOW,
bcfbf7f5-c9fa-4cb8-b030-a39d5d79bc89,"Elegant 3 Bedroom All En-suite Townhouse for Rent in Runda",4000,rent,Runda,3,LOW,
bfc94aed-38b9-452b-a5de-e4d749e7578d,"Elegant 4 Bedroom House for Rent in Lakeview",4000,rent,Riverside,4,LOW,
5000c61e-24cf-4893-85ba-6d187930d0a2,"Executive 4-Bedroom House with Guest Room for Rent – Runda Mumwe",4000,rent,Runda,4,LOW,
de91a0c9-2b1b-4d78-8a3a-3abfafcfafcc,"Luxury 4 Bedroom All En-Suite Apartment with DSQ for Sale or Rent in Westlands",4000,sale,Westlands,4,LOW,
a3cd412d-271f-4d95-bac6-49b1b69baa03,"PRIME PROPERTY IN GIGIRI, NAIROBI",4000,rent,Gigiri,3,LOW,
3df0d1b0-23d3-4d1e-8681-594679f326d0,"Exceptional 4 Bedroom Apartment for Rent in Peponi Road",4300,rent,Runda,4,LOW,
ab4de655-0f3b-478d-9365-3ca5e363d5cc,"Brand New 4 Bedroom Luxury Townhouse for Rent – Runda",4500,rent,Runda,4,LOW,
6bb9ee6c-52dc-4100-b143-acaa7a20b399,"Elegant 4 Bedroom All En-suiteTownhouse for Rent in Runda",4500,rent,Runda,4,LOW,
6628ff5b-46f8-4830-b590-53089b20269b,"Executive 4 Bedroom Standalone Residence for Rent in Runda",4500,rent,Runda,4,LOW,
8c47e757-ac04-48cc-b694-4e2871e19d72,"Executive 5 Bedroom Residence for Rent in Runda",4500,rent,Runda,5,LOW,
288df42a-3fec-4e1c-be5d-6ff292ba9e8f,"Executive 5-Bedroom House with DSQ for Rent in Runda",4500,rent,Runda,5,LOW,
bf1d514f-f03b-4687-a0a3-3f0311562adf,"Refined 2-Bedroom Fully Furnished Apartment for Rent in Muthaiga",4500,rent,Muthaiga,2,LOW,
a56c810b-e56a-466e-8a81-6f5138e6fd5c,"Elegant 5 Bedroom All En-suite Townhouse for Rent in Lower Kabete",5000,rent,Lower Kabete,5,LOW,
6429c4ec-16a0-40ad-8791-0eb071157a9d,"Executive 5 Bedroom Townhouse for Rent in Runda Estate",5000,rent,Runda,5,LOW,
c442f51e-ca7d-4aeb-8c94-15d34cd77dd3,"Executive cozy 5 Bedroom House on Half Acre for Rent in Runda",5000,rent,Runda,5,LOW,
ac4e2c5f-21f8-48c1-be97-219e22aaab67,"Luxury 4 Bedroom Villa for Rent in Runda",5000,rent,Runda,4,LOW,
4da5b094-53da-4af2-acf2-50dcf7ee97e0,"Modern Luxury 5 Bedroom En-suite Villa for Rent in Lower Kabete Road",5000,rent,Lower Kabete,5,LOW,
02a167e8-1b22-414f-bd54-06cb6fc62d3a,"Ultra-Modern 5 Bedroom Smart Townhouse for Sale & Rent in Westlands",5000,rent,Westlands,5,LOW,
e3260e2c-1398-44b1-a526-cc73506d72c1,"Luxury 4 Bedroom Skyline View Penthouse for Rent on Riverside Drive, Nairobi",6000,sale,Riverside,4,LOW,
a4cc4b07-6189-4221-ae88-28f44c92405e,"Brand New 5-Bedroom Luxury Villa for Rent in Runda",6300,rent,Runda,5,LOW,
870a7276-1b55-4605-bde3-048c1b9c0ab3,"Ambassadorial 5 Bedroom Home for Rent in Runda",6500,rent,Runda,5,LOW,
a92032d2-cecc-4073-8789-7d5c94ced7e6,"Executive Furnished 1-Bedroom Apartment for Rent in Kilimani",6500,rent,Kilimani,1,LOW,
1d6ff281-cf0d-486a-ae1e-4a0484579e09,"Modern Stylish 1.5 Bedroom Airbnb for Rent in Kilimani, Nairobi",7000,rent,Kilimani,2,LOW,
e10bf428-b4b7-43be-97db-5db17a4124e8,"Executive Modern 2 Bedroom Furnished Penthouse for Rent in Westlands",7500,rent,Westlands,2,LOW,
4beeac14-effd-4a1b-948f-7780331adc16,"Ambassadorial 4 Bedroom Residence for Rent in Muthaiga Diplomatic Zone",8000,rent,Muthaiga,4,LOW,
522895a1-5508-4ec0-b986-f40611250dda,"Fully Furnished 3-Bedroom All En-Suite Apartment for Rent in Kilimani",12000,rent,Kilimani,3,LOW,
304c23fa-a440-4ec2-9607-5580ee33fcc2,"Spacious Studio Apartment for Rent In Lavington",55000,rent,Lavington,1,VERIFY,
13d3e3a0-b18a-49c1-aeca-0fc7c54565e5,"A 3 Bedroom All En Suite Apartment For Rent In Westlands",60000,rent,Westlands,3,VERIFY,
b8911bb4-8e84-4ca2-b4ea-6bc027d36572,"A Fully furnished All En-suite Beroom within A 3 Bedroom Apartmen To Let in Westlands",60000,rent,Westlands,1,VERIFY,
2ad81ae8-339b-4bf8-9942-bd4cf2598001,"Luxury Affordable 3 Bedroom House for Rent in Runda",60000,rent,Runda,3,VERIFY,
59a91e23-c396-40e3-92b6-3206fbd71807,"MODERN 1 BEDROOM APARTMENT FOR RENT",60000,rent,Kileleshwa,1,VERIFY,
cd49877c-97ff-4802-9390-c2cf9fd7aee3,"ELEGANT 1 BEDROOM APARTMENT FOR RENT",65000,sale,Kileleshwa,1,VERIFY,
